Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand
ENSG00000004866,7,116952980,117230812,1
ENSG00000004939,17,44248390,44268141,-1
ENSG00000005249,7,107044627,107161811,1
ENSG00000006042,17,32927910,32945106,1
ENSG00000007944,6,16129086,16151367,1
ENSG00000008130,1,1751232,1780544,-1
ENSG00000010278,12,6199715,6238271,1
ENSG00000011304,19,797075,812327,1
ENSG00000013306,17,44319625,44325801,-1
ENSG00000018869,19,56375846,56393538,-1
ENSG00000019144,11,118606396,118658038,1
ENSG00000023516,13,42271475,42323283,1
ENSG00000026297,6,166922113,166957448,-1
ENSG00000031698,1,109213844,109238773,1
ENSG00000034510,2,84904923,84906680,1
ENSG00000035403,10,73995193,74121363,1
ENSG00000048544,6,42206694,42217881,-1
ENSG00000049759,18,58044050,58401540,1
ENSG00000050426,12,51047962,51060426,1
ENSG00000050628,1,70852353,71047816,-1
ENSG00000051382,3,138652336,138834957,-1
ENSG00000058063,3,182793472,182923011,1
ENSG00000059804,12,7919230,8019007,-1
ENSG00000060237,12,752536,911452,1
ENSG00000065268,19,984294,998438,1
ENSG00000065518,3,120596303,120602507,1
ENSG00000065615,6,83859646,83967423,1
ENSG00000065802,2,238426742,238452250,1
ENSG00000066777,8,67173511,67343961,-1
ENSG00000067082,10,3775996,3785281,-1
ENSG00000067225,15,72199026,72231819,-1
ENSG00000068078,4,1793286,1808873,1
ENSG00000068796,5,62306162,62391025,1
ENSG00000069849,3,141876124,141926549,1
ENSG00000070371,22,19179320,19291774,-1
ENSG00000070413,22,19036280,19122461,-1
ENSG00000071575,2,12716910,12742734,1
ENSG00000071626,19,1407536,1435687,1
ENSG00000071655,19,1573596,1592869,-1
ENSG00000071967,2,171522247,171558129,1
ENSG00000072274,3,196012511,196082162,-1
ENSG00000073060,12,124776856,124882668,-1
ENSG00000073849,3,186930325,187078932,1
ENSG00000073921,11,85957171,86069882,-1
ENSG00000074201,11,77514936,77637809,-1
ENSG00000074266,11,86201212,86279807,1
ENSG00000075618,7,5592809,5606655,1
ENSG00000076662,19,10333776,10339847,-1
ENSG00000076685,10,103087141,103277605,-1
ENSG00000078269,6,157981863,158099176,1
ENSG00000081026,1,113390501,113685923,1
ENSG00000081041,4,74097040,74099196,-1
ENSG00000081237,1,198629900,198759346,1
ENSG00000084234,11,130068147,130144811,1
ENSG00000084676,2,24490992,24770702,1
ENSG00000085999,1,46246461,46278482,1
ENSG00000087086,19,48965275,48967896,1
ENSG00000087095,17,28041723,28196381,1
ENSG00000088448,13,110878540,110915071,-1
ENSG00000090238,16,30092314,30096915,-1
ENSG00000090932,19,39498895,39508481,1
ENSG00000099219,9,5749832,5879537,-1
ENSG00000099399,X,30215563,30220089,1
ENSG00000099875,19,2037465,2061220,-1
ENSG00000100097,22,37675636,37679805,1
ENSG00000100116,22,37807872,37817386,1
ENSG00000100321,22,39349909,39385588,1
ENSG00000100393,22,41091816,41180077,1
ENSG00000100664,14,103333544,103345025,1
ENSG00000100906,14,35401079,35404749,-1
ENSG00000101040,20,47209214,47357804,-1
ENSG00000101200,20,3082556,3084724,-1
ENSG00000101236,20,3927309,4015591,-1
ENSG00000101986,X,153724495,153744755,1
ENSG00000101997,X,49235444,49250526,1
ENSG00000102007,X,49171787,49175235,1
ENSG00000102145,X,48786540,48794311,1
ENSG00000102409,X,103215068,103217246,1
ENSG00000103257,16,87830016,87869507,-1
ENSG00000103381,16,12659799,12803887,-1
ENSG00000104112,15,51681492,51721026,1
ENSG00000104325,8,90001330,90053633,1
ENSG00000104763,8,18055992,18084998,-1
ENSG00000104783,19,43766517,43781021,-1
ENSG00000104833,19,6494319,6502848,-1
ENSG00000104835,19,38915266,38930768,-1
ENSG00000104907,19,13104899,13117567,-1
ENSG00000104946,19,49877501,49888751,1
ENSG00000105327,19,47220822,47233019,-1
ENSG00000105355,19,4838339,4867717,-1
ENSG00000105376,19,10289952,10296778,1
ENSG00000105472,19,50723286,50725719,1
ENSG00000105642,19,17947484,18000085,1
ENSG00000105655,19,18434388,18438178,-1
ENSG00000105810,7,92604921,92836591,-1
ENSG00000105889,7,22417857,22727613,-1
ENSG00000106123,7,142854930,142871094,1
ENSG00000106211,7,76302673,76305813,1
ENSG00000106392,7,7156934,7248616,1
ENSG00000106603,7,43608456,43729857,-1
ENSG00000106605,7,43758009,43808097,1
ENSG00000106799,9,99104038,99154192,1
ENSG00000106992,9,127866486,127878558,-1
ENSG00000107438,10,95237569,95291035,-1
ENSG00000107789,10,87504875,87553461,1
ENSG00000108106,19,55399745,55407788,-1
ENSG00000108604,17,63832081,63843065,-1
ENSG00000108622,17,64002594,64020635,-1
ENSG00000108669,17,78674048,78782298,-1
ENSG00000108819,17,50133737,50150703,-1
ENSG00000108829,17,50375059,50398227,-1
ENSG00000109255,4,55595229,55636747,-1
ENSG00000109861,11,88265069,88359684,-1
ENSG00000110046,11,64894531,64917245,-1
ENSG00000110092,11,69641143,69654474,1
ENSG00000110492,11,46380756,46383837,1
ENSG00000110848,12,9752486,9760901,-1
ENSG00000110975,12,33374238,33439819,-1
ENSG00000111261,12,12326056,12350483,-1
ENSG00000111642,12,6570081,6614982,-1
ENSG00000111906,6,125219962,125302128,-1
ENSG00000111907,6,125119049,125264407,1
ENSG00000112077,6,49605175,49636839,-1
ENSG00000112149,6,14117256,14140682,1
ENSG00000112343,6,25962777,25991231,1
ENSG00000112759,6,44219245,44236432,1
ENSG00000112972,5,43287470,43313512,-1
ENSG00000113552,5,141991749,142013057,-1
ENSG00000113739,5,173314723,173328447,-1
ENSG00000113742,5,173888349,173961980,1
ENSG00000113758,5,177456607,177474401,-1
ENSG00000114166,3,20040400,20154404,1
ENSG00000114268,3,48517684,48562015,-1
ENSG00000115310,2,54972187,55112621,-1
ENSG00000115525,2,85837120,85905199,-1
ENSG00000115738,2,8678845,8684461,1
ENSG00000115756,2,10301356,10427835,1
ENSG00000115875,2,38743599,38751494,-1
ENSG00000115904,2,38962206,39124345,-1
ENSG00000115970,2,43230836,43596051,-1
ENSG00000115977,2,69457997,69674349,-1
ENSG00000116199,1,179025804,179076567,1
ENSG00000116691,1,12019466,12032046,1
ENSG00000116717,1,67685201,67688334,1
ENSG00000116815,1,116514534,116571039,-1
ENSG00000116830,1,117060294,117107453,1
ENSG00000117335,1,207752037,207795513,1
ENSG00000117691,1,212432853,212446379,1
ENSG00000118971,12,4269771,4306933,1
ENSG00000119403,9,120855651,120894896,-1
ENSG00000119638,14,75079353,75127344,-1
ENSG00000119714,14,91232532,91254026,-1
ENSG00000119865,2,68284171,68320051,-1
ENSG00000120129,5,172766992,172771198,-1
ENSG00000120306,5,140175072,140282052,1
ENSG00000120738,5,138465479,138469303,1
ENSG00000120915,8,27490775,27548992,1
ENSG00000121691,11,34438906,34472061,1
ENSG00000122574,7,29806486,29917061,1
ENSG00000122644,7,12686602,12690958,1
ENSG00000122779,7,138460210,138589996,1
ENSG00000123066,12,115957905,116277693,-1
ENSG00000123080,1,50960745,50974634,1
ENSG00000123159,19,14477759,14496157,-1
ENSG00000123989,2,219538949,219543818,-1
ENSG00000124171,20,50731382,50756795,1
ENSG00000124535,6,2765393,2786952,1
ENSG00000124575,6,26234212,26234987,-1
ENSG00000124635,6,27122657,27132795,-1
ENSG00000124657,6,27957241,27958182,1
ENSG00000124882,4,74365145,74388749,1
ENSG00000125462,1,156404243,156456987,-1
ENSG00000125826,20,407498,432139,1
ENSG00000125898,20,833715,857463,1
ENSG00000125968,20,31573014,31606515,1
ENSG00000126756,X,47651792,47659187,-1
ENSG00000126767,X,47631621,47650604,-1
ENSG00000128039,4,55346213,55373100,1
ENSG00000128268,22,39447127,39492194,1
ENSG00000128283,22,37555112,37569764,1
ENSG00000128294,22,26521996,26596717,-1
ENSG00000128309,22,37019635,37029822,1
ENSG00000128311,22,37010859,37024797,-1
ENSG00000128564,7,101162509,101167227,-1
ENSG00000128872,15,51751564,51816363,1
ENSG00000129128,4,176319966,176332245,1
ENSG00000129538,14,20801228,20802884,-1
ENSG00000129691,8,38105493,38144124,1
ENSG00000129749,11,3665587,3671384,-1
ENSG00000130066,X,23783173,23786210,1
ENSG00000130303,19,17402933,17405665,-1
ENSG00000130511,19,18418864,18434563,1
ENSG00000130522,19,18279694,18281622,-1
ENSG00000130656,16,142728,154503,1
ENSG00000130775,1,27872543,27886685,1
ENSG00000130821,X,153687926,153696591,1
ENSG00000131389,3,14402565,14489349,1
ENSG00000131508,5,139526431,139628434,1
ENSG00000131914,1,26410817,26429728,1
ENSG00000131981,14,55121352,55148022,1
ENSG00000132002,19,14513789,14560391,-1
ENSG00000132356,5,40759389,40798374,-1
ENSG00000132589,17,28879335,28897739,-1
ENSG00000133639,12,92140278,92145846,-1
ENSG00000133742,8,85327608,85379014,-1
ENSG00000133863,8,30831544,30913008,-1
ENSG00000134107,3,4978715,4985323,1
ENSG00000134369,1,201538982,201826969,1
ENSG00000134698,1,35808016,35857890,1
ENSG00000135046,9,73148874,73170629,1
ENSG00000135047,9,87724051,87731469,1
ENSG00000135315,6,84124241,84227685,-1
ENSG00000135324,6,84033203,84090887,1
ENSG00000135363,11,33858574,33892076,-1
ENSG00000135372,11,34105608,34147670,1
ENSG00000135409,12,53423672,53431672,1
ENSG00000135638,2,72916260,72936071,1
ENSG00000135821,1,182378098,182392206,-1
ENSG00000135932,2,230712822,230821076,1
ENSG00000136048,12,101877314,102012130,1
ENSG00000136213,7,2403442,2448484,1
ENSG00000136244,7,22725884,22732002,1
ENSG00000136522,3,179582420,179604659,-1
ENSG00000136631,1,150067279,150145329,1
ENSG00000136643,1,213051233,213274774,1
ENSG00000136732,2,126655938,126696667,1
ENSG00000136929,9,97926791,97944856,-1
ENSG00000136938,9,97983215,98015943,1
ENSG00000137193,6,37170152,37175428,1
ENSG00000137198,6,16238555,16295923,1
ENSG00000137267,6,3153497,3157544,-1
ENSG00000137331,6,30743199,30744550,-1
ENSG00000137463,4,139266165,139280346,-1
ENSG00000138316,10,70672367,70762441,1
ENSG00000138468,3,101324205,101513241,-1
ENSG00000138623,15,74409289,74433958,-1
ENSG00000138678,4,83535619,83605875,1
ENSG00000138685,4,122826682,122898236,1
